National Database Number,Common Name,Genus,Species,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,Gear Collection Flag,Other Findings upon Level Y/N,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Sunk Flag,Carcass Frozen for Later Exam,Carcass Landfill Flag,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy
SE-2017-1198030,"Dolphin, bottlenose",Tursiops,truncatus,SE,Orange Beach,Baldwin,AL,Gulf of Mexico,near Bayou St. John waterway,30.2806,actual,-87.5504,actual,N,CBD,N,N,N,N,,N,CBD,9/15/2017,2017,SEP,15,Beach or Land,Fresh Dead,9/15/2017,2017,SEP,15,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,YEARLING,172,cm,actual,44.9,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,frozen,12/11/2017
SE-2018-1201486,"Dolphin, bottlenose",Tursiops,truncatus,SE,Orange Beach,Baldwin,AL,Gulf of Mexico,"28814 Peridio Beach Blvd, behind condos",30.2773,actual,-87.5335,actual,,CBD,C,C,C,N,,N,CBD,3/28/2018,2018,MAR,28,Beach or Land,Fresh Dead,3/28/2018,2018,MAR,28,Fresh Dead,,,,,,,,,,,,,,,,MALE,PUP/CALF,102.5,cm,actual,13.6,kg,actual,Y,,,Y,,,,,Y,complete,fresh,3/29/2018
SE-2017-1194562,"Dolphin, bottlenose",Tursiops,truncatus,SE,Gulf Shores,Baldwin,AL,Gulf of Mexico,"Aprox. 1/4 miles west of boat launch near Kiva Dunes Condos, Bon Secour Bay",30.23976,actual,-87.8936,actual,N,N,N,N,N,N,,N,Y,3/9/2017,2017,MAR,9,Beach or Land,Fresh Dead,3/9/2017,2017,MAR,9,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FEMALE,ADULT,229,cm,actual,167.38,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,fresh,3/10/2017
SE-2018-1203991,"Dolphin, bottlenose",Tursiops,truncatus,SE,Orange Beach,Baldwin,AL,Gulf of Mexico,Carcass initially found floating in intercoastal waterway by dolphin tour boat. Level A exam conducted at DISL facility.,30.303815,actual,-87.541422,actual,,CBD,C,C,C,N,,N,CBD,7/7/2018,2018,JUL,7,Floating,Fresh Dead,7/8/2018,2018,JUL,8,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,ADULT,223,cm,actual,120.6,kg,actual,Y,,,,,,,,Y,complete,frozen,7/30/2018
SE-2017-1199908,"Dolphin, bottlenose",Tursiops,truncatus,SE,Gulf Shores,Baldwin,AL,Gulf of Mexico,ALMMSN responders arrived at 1700 hrs and transported the carcass to DISL. Measurements and photos were taken at 2140 hrs before the carcass was refrigerated for later necropsy.,30.24058,actual,-87.7344,actual,N,Y,N,N,Y,N,,N,CBD,9/28/2017,2017,SEP,28,Floating,Fresh Dead,9/28/2017,2017,SEP,28,Fresh Dead,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,FEMALE,YEARLING,163.5,cm,actual,56.7,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,fresh,9/28/2017
SE-2017-1196958,"Dolphin, bottlenose",Tursiops,truncatus,SE,Gulf Shores,Baldwin,AL,Gulf of Mexico,Originally sighted while floating. Stranded on the beach behind 4220 Hwy 180.,30.2307,actual,-87.9476,actual,N,Y,N,N,Y,N,,N,N,7/20/2017,2017,JUL,20,Floating,Fresh Dead,7/21/2017,2017,JUL,21,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FEMALE,YEARLING,146,cm,actual,40,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,fresh,7/21/2017
SE-2018-1202308,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fort Morgan,Baldwin,AL,Gulf of Mexico,"carcass located by called in bon secor wildlife presever near fort morgan, 1/2 from nearest roadway. Dolphin was transported to DISL for level A exam",30.22851,actual,-87.82304,actual,,CBD,C,C,C,N,,N,CBD,4/21/2018,2018,APR,21,Beach or Land,Fresh Dead,4/22/2018,2018,APR,22,Fresh Dead,,,,,,,,,,,,,,,,UNKNOWN,SUBADULT,221,cm,actual,,,,Y,,,Y,,,,,Y,limited,fresh,4/23/2018
SE-2018-1205898,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fort Morgan,Baldwin,AL,Gulf of Mexico,public beach at fort morgan fort,30.230714,estimate,-88.023608,estimate,,Y,C,C,C,Y,Rope marks around mid section of animal,N,CBD,10/20/2018,2018,OCT,20,Beach or Land,Moderate Decomposition,10/21/2018,2018,OCT,21,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,290,cm,actual,199,kg,actual,Y,,,Y,,,,,Y,complete,frozen,11/12/2018
SE-2018-1202301,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fairhope,Baldwin,AL,Gulf of Mexico,"Carcass had floated to address 15607 scenic highway 98, floating against rocks and sea wall near this residence, specific gps points taken",30.411332,estimate,-87.908162,estimate,,CBD,C,C,C,N,,N,CBD,4/3/2018,2018,APR,3,Floating,Moderate Decomposition,4/4/2018,2018,APR,4,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,207,cm,actual,94.8,kg,actual,Y,,,Y,,,,,Y,complete,frozen,4/7/2018
SE-2018-1202307,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fairhope,Baldwin,AL,Gulf of Mexico,behind 11661 county road 1,30.394301,estimate,-87.881303,estimate,,Y,C,C,Y,N,,N,CBD,4/2/2018,2018,APR,2,Floating,Moderate Decomposition,4/2/2018,2018,APR,2,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,198,cm,actual,98.4,kg,actual,Y,,,Y,,,,,Y,complete,fresh,4/3/2018
